Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,111 Turner Street,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067,2,1,1,202.0,151.96764988779805,1964,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,25 Bloomburg Street,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067,2,1,0,156.0,79.0,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,5 Charles Street,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134.0,150.0,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,40 Federation Lane,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94.0,151.96764988779805,1964,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,131 Charles Street,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067,2,1,0,181.0,151.96764988779805,1964,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,119 Yarra Street,3,h,1876000.0,S,Nelson,2016-05-07,2.5,3067,4,2,0,245.0,210.0,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,96 Charles Street,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067,2,1,2,256.0,107.0,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,237 Nicholson Street,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067,1,1,1,151.96764988779805,151.96764988779805,1964,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,19 Valiant Street,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067,3,1,2,220.0,75.0,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,468 Victoria Street,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,151.96764988779805,151.96764988779805,1964,Yarra,-37.811,145.0067,Northern Metropolitan,4019
Abbotsford,42 Nicholson Street,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,52 Nicholson Street,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,94.0,94.0,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,51 William Street,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,151.96764988779805,1964,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
Abbotsford,7/20 Masons Lane,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,151.96764988779805,151.96764988779805,1964,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,51 William Street,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
Abbotsford,42 Henry Street,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,201 Yarra Street,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,198 Nicholson Street,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,151.96764988779805,1964,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
Abbotsford,20 - 23 Valiant Street,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,258 Langridge Street,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson Street,3,t,900000.0,S,Beller,2017-03-18,2.5,3067,3,2,2,151.96764988779805,151.96764988779805,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,52 Nicholson Street,3,u,1090000.0,S,Jellis,2017-03-18,2.5,3067,3,2,2,4290.0,27.0,1964,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,217 Studley Street,2,u,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,60.0,60.0,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,4019
Abbotsford,56 William Street,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
Abbotsford,49 Park Street,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,5/20 Masons Lane,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,151.96764988779805,151.96764988779805,1964,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,48 Abbotsford Street,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
Abbotsford,52 Nicholson Street,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,50.0,50.0,1964,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,129 Park Street,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
Abbotsford,31 Turner Street,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,151.96764988779805,151.96764988779805,1964,Yarra,-37.7994,144.9965,Northern Metropolitan,4019
Abbotsford,164 Gipps Street,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,1964,Yarra,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,62 Stafford Street,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,11/205 Little Charles Street,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,50.0,50.0,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,47 Studley Street,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,39 Yarra Street,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
Abbotsford,202 Nicholson Street,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
